title,location,price(L),rate_persqft,area_insqft,building_status
2 BHK Apartment,Kukatpally,38.0,5654,672,Ready to move
5 BHK Independent House,Sainikpuri,135.0,5400,2500,Ready to move
10 BHK Independent House,Gachibowli,590.0,6555,9000,Ready to move
2 BHK Apartment,Kukatpally,38.0,5654,672,Ready to move
2 BHK Independent House,Boduppal,60.0,5000,1200,Ready to move
3 BHK Independent House,Dammaiguda,260.0,8125,3200,Ready to move
5 BHK Independent House,Old Bowenpally,200.0,7142,2800,Ready to move
5 BHK Independent House,Sainikpuri,135.0,5400,2500,Ready to move
10 BHK Independent House,Gachibowli,590.0,6555,9000,Ready to move
3 BHK Independent Floor,Amberpet,70.0,5833,1200,Ready to move
3 BHK Independent House,Dammaiguda,260.0,8125,3200,Ready to move
2 BHK Apartment,As Rao Nagar,44.0,4382,1004,Ready to move
2 BHK Apartment,As Rao Nagar,44.0,4382,1004,Ready to move
3 BHK Apartment,Kapra,72.0,5034,1430,Ready to move
2 BHK Apartment,Chengicherla,52.0,4333,1200,Ready to move
Residential Plot,Bhanur,46.2,3333,1386,Resale
Residential Plot,Adibatla,28.0,1555,1800,Resale
3 BHK Apartment,Adibatla,78.0,5200,1500,Ready to move
2 BHK Apartment,Tellapur,42.0,3333,1260,Ready to move
2 BHK Apartment,Kothapet,47.0,5000,940,Ready to move
2 BHK Independent House,Rampally,90.0,4090,2200,Ready to move
Residential Plot,Sadashivpet,18.0,661,2720,Resale
7 BHK Independent House,Bairagiguda,265.0,4732,5600,Ready to move
7 BHK Independent House,Bairagiguda,235.0,4351,5400,Ready to move
Residential Plot,Kukatpally,129.0,3611,3600,Resale
Residential Plot,Bahadurpally,90.0,3333,2700,Resale
3 BHK Apartment,Kompally,80.0,5555,1440,Ready to move
3 BHK Apartment,East Marredpally,160.0,10847,1475,Ready to move
3 BHK Apartment,East Marredpally,160.0,10847,1475,Ready to move
2 BHK Independent House,Bandlaguda Jagir,130.0,12584,1033,Ready to move
2 BHK Independent House,Boduppal,150.0,12345,1215,Ready to move
2 BHK Apartment,Isnapur,42.37,4507,940,Ready to move
2 BHK Apartment,Shankarpalli,41.9,4457,940,Ready to move
2 BHK Apartment,Isnapur,41.9,4457,940,Ready to move
2 BHK Apartment,Isnapur,41.9,4457,940,Ready to move
2 BHK Apartment,Isnapur,42.37,4507,940,Ready to move
2 BHK Apartment,Shankarpalli,41.9,4457,940,Ready to move
2 BHK Apartment,Isnapur,41.9,4457,940,Ready to move
2 BHK Apartment,Isnapur,41.9,4457,940,Ready to move
2 BHK Apartment,Isnapur,42.37,4507,940,Ready to move
2 BHK Apartment,Shankarpalli,41.9,4457,940,Ready to move
2 BHK Apartment,Isnapur,42.37,4507,940,Ready to move
2 BHK Apartment,Isnapur,42.37,4507,940,Ready to move
2 BHK Apartment,Muthangi,42.37,4507,940,Ready to move
4 BHK Apartment,Rai Durg,666.0,13365,4983,Under Construction
4 BHK Apartment,Rai Durg,719.0,11847,6069,Under Construction
4 BHK Apartment,Rai Durg,586.0,11826,4955,Under Construction
3 BHK Villa,Taramatipet,167.0,6700,2500,Under Construction
3 BHK Villa,Bacharam,167.0,6700,2500,Under Construction
2 BHK Apartment,Dundigal,47.33,4466,1060,Under Construction
3 BHK Apartment,Dundigal,66.99,4466,1500,Under Construction
Residential Plot,Sadashivpet,9.31,1055,882,New
3 BHK Independent House,Nagaram,75.0,4285,1750,Ready to move
2 BHK Independent House,Nagaram,49.0,5444,900,Ready to move
2 BHK Independent House,Nagaram,70.0,4000,1750,Under Construction
3 BHK Independent House,Nagaram,68.0,3820,1780,Ready to move
4 BHK Independent House,Toli Chowki,650.0,18055,3600,Ready to move
3 BHK Villa,Bacharam,235.0,6714,3500,Ready to move
3 BHK Apartment,Kondapur,210.0,10500,2000,Under Construction
3 BHK Apartment,Kondapur,203.0,10500,1935,Under Construction
3 BHK Apartment,Kondapur,253.0,10500,2410,Under Construction
3 BHK Apartment,Kondapur,247.00000000000003,10500,2360,Under Construction
3 BHK Apartment,Kondapur,284.0,10500,2710,Under Construction
3 BHK Apartment,Kondapur,250.0,10500,2390,Under Construction
3 BHK Apartment,Kondapur,216.0,10500,2060,Under Construction
2 BHK Apartment,Madhapur,100.0,7692,1300,Ready to move
Residential Plot,Thimmapur,180.0,2621,6867,Resale
Residential Plot,Moti Nagar,18.2,2600,700,New
Residential Plot,Moti Nagar,26.0,2600,1000,Resale
4 BHK Apartment,Kokapet,303.0,10000,3030,Under Construction
4 BHK Apartment,Puppalaguda,610.0,11200,5454,Under Construction
Residential Plot,Pocharam Near Muthangi,67.5,2500,2700,New
Residential Plot,Pocharam Near Muthangi,40.5,2500,1620,New
Residential Plot,Pocharam Near Muthangi,58.5,2500,2340,New
Residential Plot,Adibatla,41.25,3055,1350,New
Residential Plot,Adibatla,40.65,27100,150,New
Residential Plot,Adibatla,40.5,3000,1350,New
Residential Plot,Adibatla,40.95,27300,150,New
2 BHK Apartment,Boduppal,62.0,5065,1224,Ready to move
3 BHK Apartment,Mallapur,85.0,5195,1636,Ready to move
2 BHK Apartment,Quthbullapur,62.0,5511,1125,Ready to move
2 BHK Apartment,Bolarum,66.0,5866,1125,Ready to move
2 BHK Apartment,Quthbullapur,62.0,5511,1125,Ready to move
3 BHK Apartment,Serilingampally,215.0,10386,2070,Ready to move
8 BHK Independent House,Tarnaka,300.0,6666,4500,Ready to move
4 BHK Apartment,Banjara Hills,480.0,13333,3600,Ready to move
3 BHK Apartment,Himayat Nagar,320.0,13250,2415,Ready to move
8 BHK Independent House,Kavadiguda,406.0,8458,4800,Ready to move
8 BHK Independent House,Himayat Nagar,400.0,10000,4000,Ready to move
7 BHK Independent House,Banjara Hills,2500.0,20833,12000,Ready to move
6 BHK Independent House,Habsiguda,480.0,8000,6000,Ready to move
Residential Plot,Adibatla,21.7,1444,1503,New
Residential Plot,Adibatla,38.98,1444,2700,New
Residential Plot,Adibatla,23.78,1444,1647,New
Residential Plot,Adibatla,36.38,1444,2520,New
Residential Plot,Adibatla,32.49,1444,2250,New
Residential Plot,Kadthal,42.5,833,5103,New
Residential Plot,Kadthal,59.97,833,7200,New
Residential Plot,Kadthal,14.99,833,1800,New
Residential Plot,Kadthal,46.85,833,5625,New
Residential Plot,Kadthal,37.48,833,4500,New
Residential Plot,Kadthal,52.47,833,6300,New
Residential Plot,Kadthal,43.7,833,5247,New
Residential Plot,Kadthal,89.96,833,10800,New
Residential Plot,Kadthal,22.49,833,2700,New
Residential Plot,Kadthal,13.71,833,1647,New
Residential Plot,Kadthal,17.69,833,2124,New
Residential Plot,Kadthal,74.97,833,9000,New
Residential Plot,Kadthal,20.01,833,2403,New
2 BHK Apartment,Ameenpur,63.8,5800,1100,Ready to move
Residential Plot,Nandigam,21.16,9887,214,New
Residential Plot,Shadnagar,99.94,2221,4500,New
Residential Plot,Yadagirigutta,14.38,999,1440,New
Residential Plot,Shadnagar,53.37,2221,2403,New
Residential Plot,Shadnagar,19.99,1111,1800,New
Residential Plot,Yadagirigutta,16.45,999,1647,New
Residential Plot,Yadagirigutta,12.49,999,1251,New
Residential Plot,Yadagirigutta,17.62,999,1764,New
Residential Plot,Yadagirigutta,12.31,999,1233,New
Residential Plot,Shadnagar,29.99,1111,2700,New
Residential Plot,Shadnagar,14.99,1111,1350,New
Residential Plot,Chevella,12.34,567,2178,New
Residential Plot,Chevella,30.87,567,5445,New
Residential Plot,Shadnagar,24.99,1111,2250,New
Residential Plot,Chevella,18.52,567,3267,New
Residential Plot,Chevella,15.46,567,2727,New
Residential Plot,Shadnagar,17.99,1111,1620,New
Residential Plot,Shadnagar,12.49,1111,1125,New
Residential Plot,Ibrahimpatnam,98.5,2778,3546,New
Residential Plot,Ibrahimpatnam,61.5,2778,2214,New
Residential Plot,Ibrahimpatnam,50.0,2778,1800,New
4 BHK Villa,Bachupally,384.0,12500,3075,Under Construction
4 BHK Villa,Bachupally,483.0,12500,3865,Under Construction
3 BHK Apartment,Narsingi,107.0,6200,1737,Under Construction
3 BHK Apartment,Manchirevula,94.0,6037,1557,Under Construction
3 BHK Apartment,Bachupally,122.0,7178,1700,Under Construction
3 BHK Apartment,Narsingi,87.29,6100,1431,Under Construction
5 BHK Villa,Yapral,235.0,7343,3200,Ready to move
3 BHK Villa,Kapra,120.0,5217,2300,Ready to move
2 BHK Apartment,Bolarum,54.28,4600,1180,Ready to move
2 BHK Apartment,Bolarum,52.42,4500,1165,Ready to move
