,price(L)
2754,24.0
1956,17.01
1833,65.85
2016,28.51
6,48.99
382,60.0
3392,67.87
2670,12.07
2499,24.88
1992,13.79
2254,74.58
1713,67.95
2380,14.0
2196,98.32
1393,113.0
552,201.0
3396,80.0
222,53.37
1382,160.0
1096,113.0
3162,26.7
8,107.0
634,96.75
316,54.75
1328,22.5
427,18.9
2369,11.21
105,38.0
2059,16.85
142,41.9
121,44.0
2860,81.0
2882,56.0
3494,65.0
1189,85.0
2405,16.5
3164,18.3
2046,14.85
1689,89.0
115,200.0
2413,40.4
3250,20.87
3037,165.0
3229,21.58
3411,550.0
3595,148.0
2465,22.0
2687,15.51
672,195.0
2859,58.0
91,135.0
1109,25.99
2157,160.0
591,135.0
3511,194.0
3398,69.99
3253,74.76
888,70.0
2318,168.0
2045,13.45
1576,77.83
2378,31.07
1714,103.0
213,22.49
778,190.0
2622,117.0
1448,36.74
2260,71.53
800,325.0
3014,54.05
2103,55.2
2163,114.0
1567,76.0
3448,7.0
3244,15.17
1518,100.0
2155,160.0
3303,26.82
1343,18.7
273,80.0
1812,12.58
71,148.0
720,52.5
1740,12.05
1087,307.0
394,68.75
583,116.0
3538,17.01
2453,24.48
2460,20.12
500,204.0
2476,11.0
2708,7.5
2468,23.1
3632,17.32
3559,160.0
2401,113.0
2123,58.93
1763,31.56
2768,21.08
1259,41.5
2602,12.24
2222,170.0
2350,21.12
205,42.5
733,118.0
1176,140.0
526,116.0
2866,17.56
915,124.0
898,107.0
377,54.0
2650,13.7
1559,88.0
3337,39.99
3267,26.0
348,66.59
386,100.0
198,2500.0
3577,45.6
1709,76.52
1050,199.0
590,106.0
519,44.98
2463,20.12
1628,26.4
2955,10.0
3274,156.0
429,14.22
1083,439.0
2672,14.39
2657,13.62
207,14.99
491,116.0
2002,57.6
1809,12.3
2077,15.64
3549,500.0
792,24.19
3384,49.58
3539,15.36
1186,1735.0000000000002
1185,98.9
1550,215.0
2348,16.56
1915,14.52
2015,57.03
2717,73.6
1530,114.0
1410,195.0
1476,106.0
2903,129.0
1797,16.4
83,284.0
1978,18.85
2878,22.35
2711,151.0
20,102.0
2716,97.29
1627,96.01
2805,142.0
2542,26.46
1405,76.16
2428,16.27
1730,67.0
1562,92.62
3647,49.0
3280,22.0
3070,54.05
973,40.74
